Client_ID,Last_Purchase_Date,Frequency,Monetary_Spendings,Behavior_Score,Churn,Recency
Client_824,2025-08-13 17:26:37.168127,43,86.5,0.87,1,96
Client_825,2025-08-03 17:26:37.168127,12,131.67,0.17,0,106
Client_826,2025-06-03 17:26:37.168127,21,480.59,0.62,0,167
Client_827,2025-03-27 17:26:37.168127,32,100.4,0.76,0,235
Client_828,2024-12-12 17:26:37.168127,49,59.8,0.48,1,340
Client_829,2025-07-23 17:26:37.168127,47,442.24,0.42,0,117
Client_830,2025-07-11 17:26:37.168127,6,148.96,0.3,0,129
Client_831,2025-02-09 17:26:37.168127,32,125.84,0.11,1,281
Client_832,2025-02-11 17:26:37.168127,12,375.17,0.64,1,279
Client_833,2025-06-14 17:26:37.168127,26,77.29,0.75,0,156
Client_834,2025-10-18 17:26:37.168127,9,353.16,0.28,0,30
Client_835,2025-03-10 17:26:37.168127,5,31.88,0.96,1,252
Client_836,2025-11-13 17:26:37.168127,32,430.54,0.09,1,4
Client_837,2025-04-19 17:26:37.168127,44,77.12,0.93,0,212
Client_838,2024-12-03 17:26:37.168127,23,137.94,0.6,1,349
Client_839,2024-12-02 17:26:37.168127,17,86.76,0.04,1,350
Client_840,2025-07-21 17:26:37.168127,6,51.68,0.05,0,119
Client_841,2024-11-22 17:26:37.168127,5,304.73,0.65,0,360
Client_842,2025-03-03 17:26:37.168127,38,470.02,0.48,0,259
Client_843,2024-11-17 17:26:37.168127,28,146.5,0.31,0,365
Client_844,2025-06-21 17:26:37.168127,29,185.31,0.13,0,149
Client_845,2025-09-20 17:26:37.168127,24,162.75,0.32,0,58
Client_846,2025-09-07 17:26:37.168127,11,232.45,0.17,0,71
Client_847,2025-04-10 17:26:37.168127,14,381.86,0.76,1,221
Client_848,2025-04-26 17:26:37.168127,16,259.9,0.18,0,205
Client_849,2025-03-08 17:26:37.168127,23,257.28,0.07,0,254
Client_850,2025-03-16 17:26:37.168127,26,102.85,0.55,0,246
Client_851,2025-11-10 17:26:37.168127,42,184.51,0.29,0,7
Client_852,2025-06-06 17:26:37.168127,35,123.63,0.66,1,164
Client_853,2025-07-02 17:26:37.168127,12,266.77,0.08,0,138
Client_854,2025-08-03 17:26:37.168127,18,321.61,0.57,0,106
Client_855,2025-01-13 17:26:37.168127,31,487.56,0.24,0,308
Client_856,2024-11-26 17:26:37.168127,31,95.7,0.96,0,356
Client_857,2024-12-10 17:26:37.168127,8,395.23,0.4,1,342
Client_858,2025-04-23 17:26:37.168127,44,33.5,0.03,0,208
Client_859,2025-04-11 17:26:37.168127,19,434.55,0.23,0,220
Client_860,2024-11-29 17:26:37.168127,24,463.73,0.12,1,353
Client_861,2025-03-13 17:26:37.168127,45,243.32,0.92,1,249
Client_862,2025-04-25 17:26:37.168127,7,230.57,0.78,0,206
Client_863,2025-02-13 17:26:37.168127,9,134.7,0.7,0,277
Client_864,2025-06-24 17:26:37.168127,42,96.11,0.45,0,146
Client_865,2025-05-21 17:26:37.168127,35,281.5,0.22,0,180
Client_866,2024-12-16 17:26:37.168127,22,194.96,1.0,1,336
Client_867,2024-12-21 17:26:37.168127,16,141.77,0.03,0,331
Client_868,2025-07-30 17:26:37.168127,12,320.18,0.65,0,110
Client_869,2025-11-13 17:26:37.168127,42,86.34,0.08,0,4
Client_870,2025-07-14 17:26:37.168127,26,142.01,0.96,0,126
Client_871,2025-06-14 17:26:37.168127,1,376.85,0.72,0,156
Client_872,2025-10-16 17:26:37.168127,17,302.37,0.91,0,32
Client_873,2025-11-14 17:26:37.168127,34,359.51,0.52,0,3
Client_874,2024-12-07 17:26:37.168127,37,440.13,0.41,0,345
Client_875,2025-08-11 17:26:37.168127,24,212.37,0.31,0,98
Client_876,2025-02-22 17:26:37.168127,34,61.4,0.27,1,268
Client_877,2025-03-02 17:26:37.168127,35,307.81,0.03,0,260
Client_878,2025-06-07 17:26:37.168127,14,348.38,0.58,1,163
Client_879,2025-01-03 17:26:37.168127,36,245.75,0.71,1,318
Client_880,2025-06-19 17:26:37.168127,23,196.87,0.39,0,151
Client_881,2025-02-08 17:26:37.168127,14,82.9,0.7,1,282
Client_882,2025-02-12 17:26:37.168127,28,270.94,0.34,0,278
Client_883,2024-11-22 17:26:37.168127,21,455.75,0.45,1,360
Client_884,2025-01-24 17:26:37.168127,24,137.42,0.61,0,297
Client_885,2025-07-15 17:26:37.168127,14,473.83,0.77,0,125
Client_886,2025-11-13 17:26:37.168127,49,120.56,0.06,0,4
Client_887,2025-07-27 17:26:37.168127,18,30.15,0.73,1,113
Client_888,2025-02-23 17:26:37.168127,42,299.73,0.46,0,267
Client_889,2025-03-09 17:26:37.168127,34,183.02,0.51,0,253
Client_890,2025-04-27 17:26:37.168127,33,113.32,0.82,1,204
Client_891,2024-12-14 17:26:37.168127,36,344.04,0.43,0,338
Client_892,2025-02-07 17:26:37.168127,37,444.24,0.99,0,283
Client_893,2025-10-17 17:26:37.168127,13,405.0,0.58,0,31
Client_894,2025-04-22 17:26:37.168127,19,237.61,0.09,1,209
Client_895,2025-09-12 17:26:37.168127,31,374.01,0.8,0,66
Client_896,2025-07-09 17:26:37.168127,8,248.12,0.03,0,131
Client_897,2025-06-09 17:26:37.168127,2,402.78,0.72,0,161
Client_898,2025-07-02 17:26:37.168127,3,327.43,0.5,0,138
Client_899,2025-08-26 17:26:37.168127,47,140.63,0.93,1,83
Client_900,2025-08-02 17:26:37.168127,31,194.69,0.32,1,107
Client_901,2025-10-08 17:26:37.168127,44,358.11,0.4,1,40
Client_902,2025-05-06 17:26:37.168127,13,136.86,0.2,0,195
Client_903,2025-04-05 17:26:37.168127,24,165.63,0.46,0,226
Client_904,2025-08-07 17:26:37.168127,44,284.77,0.94,0,102
Client_905,2025-03-09 17:26:37.168127,1,150.26,0.19,0,253
Client_906,2025-11-15 17:26:37.168127,12,418.47,0.23,1,2
Client_907,2025-09-14 17:26:37.168127,16,241.99,0.83,0,64
Client_908,2025-02-03 17:26:37.168127,38,406.97,0.7,0,287
Client_909,2025-06-09 17:26:37.168127,34,155.46,0.14,0,161
Client_910,2025-10-08 17:26:37.168127,41,281.3,0.28,0,40
Client_911,2025-07-04 17:26:37.168127,40,172.51,0.08,0,136
Client_912,2025-03-23 17:26:37.168127,48,33.48,0.01,1,239
Client_913,2025-01-06 17:26:37.168127,2,141.53,0.08,0,315
Client_914,2025-03-06 17:26:37.168127,48,110.41,0.09,0,256
Client_915,2025-11-10 17:26:37.168127,38,450.49,0.42,1,7
Client_916,2025-06-26 17:26:37.168127,50,499.09,0.5,0,144
Client_917,2025-07-01 17:26:37.168127,35,474.01,0.23,0,139
Client_918,2025-09-03 17:26:37.168127,39,142.71,0.15,0,75
Client_919,2025-08-16 17:26:37.168127,11,359.53,0.97,0,93
Client_920,2025-05-13 17:26:37.168127,23,421.89,0.92,0,188
Client_921,2025-11-04 17:26:37.168127,21,211.42,0.54,0,13
Client_922,2025-10-19 17:26:37.168127,39,192.79,0.94,0,29
Client_923,2025-11-13 17:26:37.168127,20,468.26,0.52,0,4
Client_924,2025-09-30 17:26:37.168127,12,202.73,0.05,0,48
Client_925,2025-05-02 17:26:37.168127,20,443.63,0.68,1,199
Client_926,2025-09-30 17:26:37.168127,25,194.37,0.53,0,48
Client_927,2024-12-06 17:26:37.168127,28,268.65,0.42,0,346
Client_928,2025-08-15 17:26:37.168127,43,240.61,0.95,0,94
Client_929,2025-04-21 17:26:37.168127,10,126.3,0.71,0,210
Client_930,2025-02-10 17:26:37.168127,30,185.1,0.75,0,280
Client_931,2025-06-17 17:26:37.168127,8,341.22,0.62,0,153
Client_932,2024-12-19 17:26:37.168127,23,462.09,0.7,0,333
Client_933,2025-05-25 17:26:37.168127,24,437.21,0.94,0,176
Client_934,2025-05-14 17:26:37.168127,48,283.02,0.4,0,187
Client_935,2025-02-12 17:26:37.168127,39,407.28,0.09,1,278
Client_936,2025-10-23 17:26:37.168127,35,492.84,0.09,1,25
Client_937,2025-04-26 17:26:37.168127,21,338.21,0.25,0,205
Client_938,2025-01-03 17:26:37.168127,34,183.06,0.81,0,318
Client_939,2025-08-25 17:26:37.168127,12,341.81,0.38,0,84
Client_940,2025-07-18 17:26:37.168127,41,410.4,0.39,0,122
Client_941,2025-08-16 17:26:37.168127,50,263.23,0.51,0,93
Client_942,2025-02-25 17:26:37.168127,19,20.25,0.02,0,265
Client_943,2024-12-17 17:26:37.168127,3,185.32,0.0,0,335
Client_944,2025-10-02 17:26:37.168127,50,473.32,0.62,0,46
Client_945,2025-07-11 17:26:37.168127,5,113.9,0.66,0,129
Client_946,2025-05-19 17:26:37.168127,42,330.97,0.35,0,182
Client_947,2025-05-17 17:26:37.168127,30,342.94,0.05,0,184
Client_948,2025-03-26 17:26:37.168127,45,106.68,0.85,0,236
Client_949,2025-05-18 17:26:37.168127,2,327.34,0.7,0,183
Client_950,2025-08-03 17:26:37.168127,13,55.42,0.94,0,106
Client_951,2025-03-09 17:26:37.168127,34,440.4,0.68,0,253
Client_952,2025-02-09 17:26:37.168127,45,386.3,0.59,1,281
Client_953,2024-11-18 17:26:37.168127,38,48.65,0.29,0,364
Client_954,2025-07-30 17:26:37.168127,12,438.78,0.93,0,110
Client_955,2025-04-18 17:26:37.168127,20,81.73,0.48,0,213
Client_956,2024-11-23 17:26:37.168127,45,104.54,0.87,0,359
Client_957,2025-02-19 17:26:37.168127,3,175.15,0.07,1,271
Client_958,2025-02-21 17:26:37.168127,7,485.42,1.0,1,269
Client_959,2025-04-14 17:26:37.168127,45,409.24,0.94,0,217
Client_960,2025-01-19 17:26:37.168127,43,217.45,0.37,0,302
Client_961,2025-07-03 17:26:37.168127,26,56.72,0.73,0,137
Client_962,2025-04-27 17:26:37.168127,36,278.4,0.37,0,204
Client_963,2024-12-16 17:26:37.168127,33,401.84,0.05,1,336
Client_964,2025-09-11 17:26:37.168127,23,126.07,0.66,1,67
Client_965,2025-04-22 17:26:37.168127,14,317.33,0.92,0,209
Client_966,2024-11-30 17:26:37.168127,8,38.52,0.03,1,352
Client_967,2025-02-18 17:26:37.168127,47,105.03,0.85,1,272
Client_968,2025-07-01 17:26:37.168127,30,441.28,0.49,1,139
Client_969,2025-04-25 17:26:37.168127,48,145.21,0.56,1,206
Client_970,2025-09-18 17:26:37.168127,15,371.25,0.79,0,60
Client_971,2025-08-15 17:26:37.168127,2,29.84,0.34,0,94
Client_972,2025-11-13 17:26:37.168127,28,417.63,0.4,1,4
Client_973,2025-02-03 17:26:37.168127,32,274.93,0.78,0,287
Client_974,2025-09-23 17:26:37.168127,48,195.39,0.88,0,55
Client_975,2025-08-19 17:26:37.168127,22,93.89,0.42,0,90
Client_976,2025-03-26 17:26:37.168127,22,377.52,0.21,0,236
Client_977,2025-08-16 17:26:37.168127,23,398.71,0.81,0,93
Client_978,2025-08-22 17:26:37.168127,42,183.43,0.52,0,87
Client_979,2025-08-19 17:26:37.168127,39,424.41,0.43,0,90
Client_980,2025-02-04 17:26:37.168127,4,305.84,0.52,1,286
Client_981,2025-10-03 17:26:37.168127,33,212.89,0.78,0,45
Client_982,2025-04-07 17:26:37.168127,34,174.58,0.42,1,224
Client_983,2025-01-03 17:26:37.168127,12,40.29,0.38,0,318
Client_984,2024-11-28 17:26:37.168127,15,27.67,0.85,1,354
Client_985,2025-03-30 17:26:37.168127,2,243.25,0.48,1,232
Client_986,2025-11-04 17:26:37.168127,38,319.54,0.54,0,13
Client_987,2025-07-17 17:26:37.168127,23,333.8,0.13,0,123
Client_988,2025-07-14 17:26:37.168127,13,23.15,0.34,0,126
Client_989,2025-03-28 17:26:37.168127,49,202.72,0.15,0,234
Client_990,2025-06-01 17:26:37.168127,9,30.22,0.48,0,169
Client_991,2025-10-06 17:26:37.168127,48,77.67,0.03,0,42
Client_992,2025-02-22 17:26:37.168127,35,317.68,0.76,1,268
Client_993,2025-09-08 17:26:37.168127,15,300.43,0.33,0,70
Client_994,2024-11-21 17:26:37.168127,48,387.86,0.93,0,361
Client_995,2025-05-13 17:26:37.168127,29,315.82,0.77,1,188
Client_996,2025-02-18 17:26:37.168127,37,429.62,0.81,0,272
Client_997,2025-07-04 17:26:37.168127,35,320.55,0.39,0,136
Client_998,2025-07-15 17:26:37.168127,11,283.81,0.36,0,125
Client_999,2025-11-12 17:26:37.168127,36,150.78,0.79,0,5
Client_1000,2025-07-31 17:26:37.168127,35,134.86,0.87,1,109
Client_1001,2025-05-12 17:26:37.168127,14,362.59,0.83,0,189
Client_1002,2025-06-12 17:26:37.168127,28,281.9,0.27,0,158
Client_1003,2025-06-30 17:26:37.168127,1,439.56,0.59,0,140
Client_1004,2025-03-06 17:26:37.168127,43,231.38,0.71,0,256
Client_1005,2025-06-14 17:26:37.168127,14,153.26,0.2,0,156
Client_1006,2025-10-25 17:26:37.168127,10,112.13,0.54,0,23
Client_1007,2025-03-24 17:26:37.168127,23,490.79,0.69,0,238
Client_1008,2025-04-27 17:26:37.168127,45,145.27,0.07,0,204
Client_1009,2025-01-12 17:26:37.168127,38,229.45,0.37,1,309
Client_1010,2025-04-08 17:26:37.168127,17,350.96,0.21,1,223
Client_1011,2025-05-09 17:26:37.168127,15,37.5,0.86,0,192
Client_1012,2025-10-20 17:26:37.168127,26,345.01,0.84,0,28
Client_1013,2025-06-13 17:26:37.168127,3,61.28,0.68,0,157
Client_1014,2025-10-19 17:26:37.168127,44,96.29,0.58,0,29
Client_1015,2025-07-15 17:26:37.168127,46,385.6,0.59,0,125
Client_1016,2025-05-24 17:26:37.168127,45,370.12,0.12,0,177
Client_1017,2025-03-03 17:26:37.168127,19,347.57,0.17,1,259
Client_1018,2025-07-11 17:26:37.168127,38,415.73,0.07,0,129
Client_1019,2025-05-01 17:26:37.168127,36,260.86,0.78,1,200
Client_1020,2025-03-08 17:26:37.168127,10,411.07,0.88,0,254
Client_1021,2025-02-06 17:26:37.168127,41,411.43,0.7,1,284
Client_1022,2025-07-30 17:26:37.168127,4,113.36,0.17,0,110
Client_1023,2025-08-28 17:26:37.168127,8,445.47,0.86,0,81
Client_1024,2025-10-02 17:26:37.168127,20,74.15,0.13,0,46
Client_1025,2025-08-12 17:26:37.168127,14,289.25,0.24,0,97
Client_1026,2025-01-23 17:26:37.168127,40,371.41,0.79,0,298
Client_1027,2024-12-12 17:26:37.168127,42,450.94,0.81,0,340
Client_1028,2025-03-06 17:26:37.168127,49,341.2,1.0,1,256
Client_1029,2025-04-06 17:26:37.168127,35,316.36,0.73,0,225
Client_1030,2024-11-20 17:26:37.168127,11,327.35,0.29,0,362
Client_1031,2025-09-21 17:26:37.168127,34,229.46,0.44,0,57
Client_1032,2025-07-27 17:26:37.168127,38,428.74,0.59,0,113
Client_1033,2025-05-01 17:26:37.168127,2,412.14,0.87,1,200
Client_1034,2025-01-31 17:26:37.168127,3,32.19,0.32,0,290
Client_1035,2025-10-10 17:26:37.168127,33,136.45,0.61,0,38
Client_1036,2025-07-10 17:26:37.168127,37,378.0,0.83,0,130
Client_1037,2024-12-29 17:26:37.168127,21,139.98,0.16,0,323
Client_1038,2025-03-08 17:26:37.168127,10,295.59,0.26,1,254
Client_1039,2025-09-17 17:26:37.168127,2,417.87,0.03,0,61
Client_1040,2025-09-24 17:26:37.168127,39,228.22,0.99,1,54
Client_1041,2025-06-10 17:26:37.168127,26,77.18,0.34,0,160
Client_1042,2025-04-21 17:26:37.168127,42,313.75,0.63,1,210
Client_1043,2025-09-02 17:26:37.168127,7,329.04,0.87,1,76
Client_1044,2024-12-07 17:26:37.168127,31,327.67,0.32,1,345
Client_1045,2025-01-31 17:26:37.168127,10,433.23,0.47,0,290
Client_1046,2025-08-22 17:26:37.168127,1,244.31,0.34,0,87
Client_1047,2025-06-05 17:26:37.168127,7,373.54,0.89,0,165
Client_1048,2025-06-17 17:26:37.168127,48,67.72,0.26,0,153
Client_1049,2025-05-18 17:26:37.168127,10,389.58,0.29,0,183
Client_1050,2024-12-24 17:26:37.168127,35,371.42,0.76,0,328
Client_1051,2025-09-10 17:26:37.168127,3,66.55,0.71,0,68
Client_1052,2025-10-17 17:26:37.168127,16,266.7,0.55,0,31
Client_1053,2025-05-27 17:26:37.168127,41,115.39,0.41,1,174
Client_1054,2025-11-06 17:26:37.168127,42,377.21,0.8,0,11
Client_1055,2025-06-23 17:26:37.168127,3,313.25,0.65,0,147
Client_1056,2025-04-08 17:26:37.168127,40,444.38,0.93,1,223
Client_1057,2025-10-24 17:26:37.168127,33,130.35,0.25,0,24
Client_1058,2025-11-01 17:26:37.168127,28,220.22,0.55,0,16
Client_1059,2025-01-08 17:26:37.168127,6,174.7,0.12,0,313
Client_1060,2025-03-24 17:26:37.168127,2,361.84,0.51,1,238
Client_1061,2025-09-02 17:26:37.168127,49,428.12,0.0,0,76
Client_1062,2025-01-05 17:26:37.168127,23,283.81,0.83,0,316
Client_1063,2025-06-01 17:26:37.168127,44,48.87,0.28,0,169
Client_1064,2025-06-23 17:26:37.168127,21,42.96,0.46,0,147
Client_1065,2025-05-17 17:26:37.168127,38,386.42,0.59,0,184
Client_1066,2025-01-15 17:26:37.168127,15,313.68,0.72,0,306
Client_1067,2025-04-23 17:26:37.168127,43,82.57,0.2,0,208
Client_1068,2025-08-02 17:26:37.168127,19,363.43,0.45,0,107
Client_1069,2025-10-21 17:26:37.168127,2,442.96,0.37,0,27
Client_1070,2025-03-16 17:26:37.168127,8,282.21,0.43,1,246
Client_1071,2024-12-19 17:26:37.168127,14,117.0,0.65,0,333
Client_1072,2024-12-09 17:26:37.168127,2,230.22,0.63,0,343
Client_1073,2025-05-01 17:26:37.168127,49,190.23,0.16,0,200
Client_1074,2024-12-02 17:26:37.168127,29,234.41,0.52,0,350
Client_1075,2025-02-24 17:26:37.168127,30,333.01,0.35,0,266
Client_1076,2024-12-30 17:26:37.168127,28,416.49,0.67,0,322
Client_1077,2025-10-18 17:26:37.168127,48,287.58,0.02,0,30
Client_1078,2024-12-12 17:26:37.168127,4,394.49,0.85,1,340
Client_1079,2024-11-22 17:26:37.168127,11,204.91,0.75,0,360
Client_1080,2024-12-28 17:26:37.168127,50,210.31,0.28,0,324
Client_1081,2025-02-12 17:26:37.168127,10,463.71,0.13,0,278
Client_1082,2025-10-03 17:26:37.168127,22,366.1,0.59,0,45
Client_1083,2025-09-16 17:26:37.168127,32,243.7,0.88,0,62
Client_1084,2025-08-04 17:26:37.168127,35,415.11,0.13,0,105
Client_1085,2025-10-11 17:26:37.168127,13,132.59,0.34,0,37
Client_1086,2025-03-08 17:26:37.168127,16,335.68,0.71,0,254
Client_1087,2025-03-24 17:26:37.168127,36,170.79,0.82,0,238
Client_1088,2025-07-01 17:26:37.168127,5,179.07,0.04,0,139
Client_1089,2025-03-10 17:26:37.168127,44,65.68,0.64,0,252
Client_1090,2025-04-04 17:26:37.168127,1,284.67,0.47,1,227
Client_1091,2025-05-27 17:26:37.168127,35,372.74,0.26,0,174
Client_1092,2025-10-13 17:26:37.168127,36,348.29,0.36,0,35
Client_1093,2024-12-18 17:26:37.168127,43,31.37,0.77,0,334
Client_1094,2024-12-24 17:26:37.168127,23,419.66,0.37,0,328
Client_1095,2025-01-19 17:26:37.168127,42,96.31,0.69,1,302
Client_1096,2025-01-18 17:26:37.168127,43,339.44,0.03,1,303
Client_1097,2025-08-09 17:26:37.168127,16,364.0,0.7,1,100
Client_1098,2025-05-21 17:26:37.168127,37,55.21,0.84,0,180
Client_1099,2025-08-24 17:26:37.168127,37,443.52,0.65,0,85
Client_1100,2025-02-19 17:26:37.168127,30,359.29,0.23,0,271
Client_1101,2025-06-30 17:26:37.168127,32,40.44,0.3,1,140
Client_1102,2025-03-18 17:26:37.168127,6,260.26,0.58,0,244
Client_1103,2025-06-21 17:26:37.168127,45,161.76,0.81,1,149
Client_1104,2025-07-01 17:26:37.168127,19,406.89,0.95,1,139
Client_1105,2025-03-23 17:26:37.168127,31,345.55,0.23,0,239
Client_1106,2025-07-24 17:26:37.168127,49,334.85,0.71,0,116
Client_1107,2025-08-20 17:26:37.168127,21,474.53,0.94,0,89
Client_1108,2025-03-02 17:26:37.168127,24,29.47,0.19,0,260
Client_1109,2025-04-25 17:26:37.168127,47,421.71,0.93,0,206
Client_1110,2025-11-11 17:26:37.168127,29,347.69,0.83,0,6
Client_1111,2025-07-14 17:26:37.168127,39,448.33,0.68,0,126
Client_1112,2025-05-14 17:26:37.168127,25,377.96,0.89,0,187
Client_1113,2025-11-13 17:26:37.168127,14,159.38,0.38,0,4
Client_1114,2025-07-17 17:26:37.168127,33,286.46,0.68,1,123
Client_1115,2025-06-25 17:26:37.168127,50,47.53,0.57,0,145
Client_1116,2025-01-31 17:26:37.168127,39,154.7,0.3,0,290
Client_1117,2025-07-17 17:26:37.168127,31,55.08,0.31,1,123
Client_1118,2025-09-01 17:26:37.168127,44,33.68,0.85,0,77
Client_1119,2025-09-22 17:26:37.168127,24,29.06,0.61,0,56
Client_1120,2025-05-19 17:26:37.168127,13,495.31,0.91,0,182
Client_1121,2025-01-31 17:26:37.168127,39,57.69,1.0,0,290
Client_1122,2025-09-18 17:26:37.168127,8,113.57,0.93,0,60
Client_1123,2025-08-24 17:26:37.168127,18,323.09,0.5,1,85
Client_1124,2024-11-17 17:26:37.168127,12,469.95,0.29,0,365
Client_1125,2025-04-07 17:26:37.168127,44,288.86,0.52,0,224
Client_1126,2025-08-27 17:26:37.168127,2,473.82,0.07,0,82
Client_1127,2025-06-28 17:26:37.168127,30,463.65,0.43,1,142
Client_1128,2025-11-03 17:26:37.168127,12,465.52,0.11,1,14
Client_1129,2025-08-06 17:26:37.168127,1,340.87,0.18,0,103
Client_1130,2025-03-08 17:26:37.168127,11,151.4,0.05,1,254
Client_1131,2025-02-21 17:26:37.168127,17,136.65,0.31,0,269
Client_1132,2025-03-19 17:26:37.168127,40,79.82,0.11,0,243
Client_1133,2025-06-03 17:26:37.168127,14,276.38,0.77,0,167
Client_1134,2024-12-29 17:26:37.168127,48,94.59,0.42,0,323
Client_1135,2025-01-24 17:26:37.168127,6,163.73,0.33,0,297
Client_1136,2025-08-21 17:26:37.168127,22,142.4,0.69,1,88
Client_1137,2025-10-28 17:26:37.168127,50,421.0,0.22,0,20
Client_1138,2025-11-14 17:26:37.168127,34,110.01,0.97,0,3
Client_1139,2025-02-24 17:26:37.168127,11,182.26,0.41,0,266
Client_1140,2024-11-19 17:26:37.168127,40,138.75,0.15,1,363
Client_1141,2025-09-19 17:26:37.168127,18,218.6,0.9,0,59
Client_1142,2025-08-17 17:26:37.168127,11,275.86,0.77,0,92
Client_1143,2025-02-16 17:26:37.168127,37,230.62,0.46,1,274
Client_1144,2025-10-03 17:26:37.168127,12,306.38,0.09,0,45
Client_1145,2025-07-08 17:26:37.168127,9,33.12,0.56,0,132
Client_1146,2025-10-08 17:26:37.168127,14,137.19,0.25,1,40
Client_1147,2025-06-28 17:26:37.168127,35,258.31,0.44,0,142
Client_1148,2025-05-17 17:26:37.168127,26,364.76,0.47,0,184
Client_1149,2025-09-12 17:26:37.168127,35,463.88,0.1,0,66
Client_1150,2024-11-30 17:26:37.168127,12,245.41,0.28,0,352
Client_1151,2025-06-04 17:26:37.168127,20,459.04,0.1,0,166
Client_1152,2025-04-11 17:26:37.168127,16,498.11,0.47,0,220
Client_1153,2025-03-14 17:26:37.168127,43,439.71,0.51,1,248
Client_1154,2024-12-08 17:26:37.168127,2,95.5,0.42,0,344
Client_1155,2025-08-24 17:26:37.168127,40,172.38,0.9,0,85
Client_1156,2025-09-24 17:26:37.168127,28,157.67,0.62,0,54
Client_1157,2025-09-16 17:26:37.168127,32,435.6,0.81,1,62
Client_1158,2025-08-01 17:26:37.168127,21,60.01,0.15,0,108
Client_1159,2025-02-10 17:26:37.168127,28,145.47,0.29,0,280
Client_1160,2024-12-05 17:26:37.168127,11,344.62,0.42,0,347
Client_1161,2025-04-17 17:26:37.168127,45,93.19,0.85,0,214
Client_1162,2025-01-16 17:26:37.168127,32,421.34,0.77,0,305
Client_1163,2025-10-12 17:26:37.168127,39,341.31,0.96,0,36
Client_1164,2025-11-13 17:26:37.168127,22,380.57,0.08,0,4
Client_1165,2025-02-06 17:26:37.168127,10,484.07,0.92,0,284
Client_1166,2025-08-25 17:26:37.168127,45,95.79,0.13,1,84
Client_1167,2025-08-13 17:26:37.168127,20,25.27,0.48,0,96
Client_1168,2025-07-15 17:26:37.168127,37,443.82,0.29,1,125
Client_1169,2025-01-06 17:26:37.168127,20,462.71,0.61,0,315
Client_1170,2025-02-12 17:26:37.168127,46,73.59,0.75,1,278
Client_1171,2024-12-23 17:26:37.168127,19,378.23,0.93,0,329
Client_1172,2025-06-28 17:26:37.168127,7,458.3,0.9,0,142
Client_1173,2025-03-07 17:26:37.168127,22,81.74,0.36,1,255
Client_1174,2025-08-20 17:26:37.168127,29,439.66,0.2,1,89
Client_1175,2025-04-23 17:26:37.168127,29,472.69,0.89,0,208
Client_1176,2025-05-23 17:26:37.168127,33,411.82,0.18,0,178
Client_1177,2025-06-09 17:26:37.168127,28,481.46,0.6,0,161
Client_1178,2025-09-23 17:26:37.168127,50,473.63,0.79,0,55
Client_1179,2025-04-30 17:26:37.168127,46,141.86,0.28,1,201
Client_1180,2025-04-29 17:26:37.168127,26,63.44,0.34,0,202
Client_1181,2025-03-04 17:26:37.168127,10,354.86,0.71,0,258
Client_1182,2025-10-09 17:26:37.168127,29,247.07,0.64,0,39
Client_1183,2025-02-22 17:26:37.168127,26,257.41,0.9,0,268
Client_1184,2025-10-09 17:26:37.168127,17,401.58,0.62,1,39
Client_1185,2025-03-15 17:26:37.168127,39,392.12,0.97,0,247
Client_1186,2025-05-13 17:26:37.168127,30,142.67,0.71,0,188
Client_1187,2025-04-14 17:26:37.168127,47,308.32,0.34,0,217
Client_1188,2025-04-26 17:26:37.168127,28,424.27,0.73,0,205
Client_1189,2025-02-01 17:26:37.168127,25,284.31,0.66,0,289
Client_1190,2024-12-18 17:26:37.168127,50,413.16,0.58,0,334
Client_1191,2025-09-01 17:26:37.168127,45,41.8,0.63,0,77
Client_1192,2025-01-30 17:26:37.168127,39,56.71,0.19,0,291
Client_1193,2025-01-29 17:26:37.168127,41,213.74,0.4,0,292
Client_1194,2025-01-19 17:26:37.168127,5,209.78,0.32,1,302
Client_1195,2025-02-23 17:26:37.168127,24,489.47,0.86,0,267
Client_1196,2025-10-25 17:26:37.168127,24,188.31,0.12,0,23
Client_1197,2024-12-06 17:26:37.168127,17,129.73,0.03,1,346
Client_1198,2025-02-08 17:26:37.168127,47,231.72,0.67,0,282
Client_1199,2025-08-19 17:26:37.168127,39,148.39,0.05,0,90
Client_1200,2025-06-25 17:26:37.168127,43,301.85,0.55,1,145
Client_1201,2025-10-29 17:26:37.168127,37,189.08,0.01,0,19
Client_1202,2025-02-20 17:26:37.168127,2,92.17,0.92,0,270
Client_1203,2024-11-26 17:26:37.168127,1,345.11,0.05,1,356
Client_1204,2025-01-01 17:26:37.168127,20,205.51,0.96,0,320
Client_1205,2025-01-03 17:26:37.168127,11,164.33,0.77,0,318
Client_1206,2024-12-16 17:26:37.168127,22,291.89,0.92,0,336
Client_1207,2024-12-23 17:26:37.168127,16,192.26,0.78,0,329
Client_1208,2025-03-14 17:26:37.168127,27,193.42,0.85,0,248
Client_1209,2024-11-25 17:26:37.168127,8,436.47,0.04,0,357
Client_1210,2025-08-09 17:26:37.168127,22,458.39,0.71,1,100
Client_1211,2025-10-25 17:26:37.168127,21,444.6,0.73,0,23
Client_1212,2024-12-05 17:26:37.168127,47,34.72,0.54,1,347
Client_1213,2025-07-01 17:26:37.168127,9,220.24,0.31,1,139
Client_1214,2025-02-18 17:26:37.168127,38,279.52,0.86,0,272
Client_1215,2025-04-20 17:26:37.168127,17,375.89,0.13,0,211
